#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5060000,43999.99999629806,878.4351196818735,293.4482921946417,2744.0,0.020207834563842144,6.39e+03
5080000,44099.99999624567,881.9859263173591,287.44151812972507,2744.0,0.020207834563842144,6.39e+03
5100000,44199.999996193284,928.7135866838103,305.1412990343501,2744.0,0.020207834563842144,6.39e+03
5120000,44299.9999961409,859.5245771803516,310.34142527744063,2744.0,0.020207834563842144,6.39e+03
5140000,44399.99999608851,840.6581852220424,287.1379565637129,2744.0,0.020207834563842144,6.39e+03
5160000,44499.999996036124,822.3042420605306,296.31632180378364,2744.0,0.020207834563842144,6.39e+03
5180000,44599.99999598374,973.7814221048989,285.61148130956946,2744.0,0.020207834563842144,6.39e+03
5200000,44699.99999593135,832.5648229598843,274.7052041478419,2744.0,0.020207834563842144,6.39e+03
5220000,44799.99999587896,788.200049211365,294.3527965481242,2744.0,0.020207834563842144,6.39e+03
5240000,44899.999995826576,856.2286302780711,285.63453069162017,2744.0,0.020207834563842144,6.39e+03
5260000,44999.99999577419,823.7819965386727,300.4598911263669,2744.0,0.020207834563842144,6.39e+03
5280000,45099.9999957218,903.2636830129825,267.78679641710283,2744.0,0.020207834563842144,6.4e+03
5300000,45199.999995669416,825.0198481194552,317.01954337465065,2744.0,0.020207834563842144,6.4e+03
5320000,45299.99999561703,909.9743606332156,300.311025112391,2744.0,0.020207834563842144,6.39e+03
5340000,45399.99999556464,813.0457794797326,284.28827917799936,2744.0,0.020207834563842144,6.39e+03
5360000,45499.999995512255,963.5841924310666,307.4802935747625,2744.0,0.020207834563842144,6.39e+03
5380000,45599.99999545987,929.5964266468509,288.43494521738467,2744.0,0.020207834563842144,6.39e+03
5400000,45699.99999540748,892.0545665195946,305.3685518070366,2744.0,0.020207834563842144,6.39e+03
5420000,45799.999995355094,812.420481588447,304.01272586727873,2744.0,0.020207834563842144,6.39e+03
5440000,45899.99999530271,804.6710427508615,321.09864524354964,2744.0,0.020207834563842144,6.4e+03
5460000,45999.99999525032,797.2603657307087,312.68341424456236,2744.0,0.020207834563842144,6.4e+03
